Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
126    126    1637862273325870673    40.119715    31.981556    99.298121    1.000000    1.000000    1.000000    17.319772    16.686763    17.059289
127    127    1637862273335939908    40.307404    31.981409    99.312411    1.000000    1.000000    1.000000    17.319184    16.697114    17.134482
128    128    1637862273346011301    40.493880    31.981224    99.291131    1.000000    1.000000    1.000000    17.319623    16.711479    17.458064
129    129    1637862273356079622    40.679219    31.981148    99.321426    1.000000    1.000000    1.000000    17.318997    16.722531    17.120882
130    130    1637862273366149937    40.863368    32.014629    99.301760    1.000000    1.000000    1.000000    17.318445    16.724390    17.143251
131    131    1637862273376221976    41.046343    32.014439    99.284762    1.000000    1.000000    1.000000    17.318452    16.719829    17.320598
132    132    1637862273386290855    41.228215    32.014332    99.315922    1.000000    1.000000    1.000000    17.317444    16.729072    16.995667
133    133    1637862273396358172    41.408975    32.014282    99.331331    1.000000    1.000000    1.000000    17.316734    16.739467    17.089245
134    134    1637862273406427625    41.588586    32.014168    99.310260    1.000000    1.000000    1.000000    17.316168    16.749648    17.134111
135    135    1637862273416495380    41.767109    32.014111    99.327010    1.000000    1.000000    1.000000    17.315501    16.758998    17.100626
136    136    1637862273426562846    41.944535    32.014061    99.329861    1.000000    1.000000    1.000000    17.314715    16.769702    17.060195
137    137    1637862273436630452    42.120868    32.014008    99.328480    1.000000    1.000000    1.000000    17.313852    16.780031    17.034192
138    138    1637862273446697218    42.296132    32.013950    99.336768    1.000000    1.000000    1.000000    17.313232    16.790861    17.111401
139    139    1637862273456764573    42.470318    32.013897    99.330956    1.000000    1.000000    1.000000    17.312530    16.800782    17.083118
140    140    1637862273466833489    42.643423    32.013821    99.315557    1.000000    1.000000    1.000000    17.311800    16.810464    17.072892
141    141    1637862273476901614    42.815487    32.013767    99.323360    1.000000    1.000000    1.000000    17.311152    16.821378    17.098482
142    142    1637862273486971510    42.986487    32.013641    99.305892    1.000000    1.000000    1.000000    17.310495    16.831683    17.093960
143    143    1637862273497039186    43.156483    32.013557    99.327789    1.000000    1.000000    1.000000    17.309725    16.841523    17.055292
144    144    1637862273507109513    43.325423    32.013405    99.301641    1.000000    1.000000    1.000000    17.309032    16.851962    17.079591
145    145    1637862273517177644    43.493377    32.011868    99.323300    1.000000    1.000000    1.000000    17.308333    16.861265    17.075739
146    146    1637862273595112302    42.797655    29.850103    12.831262    1.000000    1.000000    1.000000    17.334398    16.992428    18.457078
147    147    1637862273605191974    42.962717    81.079414    99.209577    1.000000    1.000000    1.000000    17.338460    17.520112    18.722901
148    148    1637862273615266320    43.126883    81.080338    99.262027    1.000000    1.000000    1.000000    17.342486    17.559283    18.719168
149    149    1637862273625339814    43.290104    81.080490    99.270422    1.000000    1.000000    1.000000    17.346520    17.597051    18.729840
150    150    1637862274051256950    38.808380    38.177280    2.347875    1.000000    1.000000    1.000000    17.462994    18.043780    18.410552
151    151    1637862274061332255    38.964492    38.177044    99.252578    1.000000    1.000000    1.000000    17.459408    18.027277    16.074629
152    152    1637862275067251130    31.180542    16.838238    0.994116    1.000000    1.000000    1.000000    17.202291    16.992226    16.205185
153    153    1637862275077324029    31.320042    16.838207    99.276286    1.000000    1.000000    1.000000    17.200005    16.995910    16.086042
154    154    1637862275087389936    31.459017    16.838245    99.345245    1.000000    1.000000    1.000000    17.197792    16.980645    16.116923
155    155    1637862275097455305    31.597429    16.838274    99.350555    1.000000    1.000000    1.000000    17.195525    16.974002    16.085949
156    156    1637862275107520822    31.735276    16.838322    99.349095    1.000000    1.000000    1.000000    17.193350    16.968733    16.126643
157    157    1637862275117586654    31.872562    16.838354    99.345986    1.000000    1.000000    1.000000    17.191223    16.963147    16.145845
158    158    1637862275127652818    32.009289    16.838404    99.342709    1.000000    1.000000    1.000000    17.189036    16.955540    16.111964
159    159    1637862275137718783    32.145464    16.838427    99.344673    1.000000    1.000000    1.000000    17.186773    16.949602    16.069838
160    160    1637862275147784155    32.281094    16.838472    99.350526    1.000000    1.000000    1.000000    17.184545    16.943611    16.082912
161    161    1637862275157850393    32.416171    16.838528    99.341979    1.000000    1.000000    1.000000    17.182430    16.936909    16.134583
162    162    1637862275167916677    32.550705    16.838552    99.341525    1.000000    1.000000    1.000000    17.180309    16.932000    16.126930
163    163    1637862275177982629    32.684702    16.838566    99.344801    1.000000    1.000000    1.000000    17.178178    16.926515    16.118367
164    164    1637862275188025994    32.818309    16.838812    99.568222    1.000000    1.000000    1.000000    17.176158    16.921058    16.166770
165    165    1637862275198091885    32.951237    16.838829    99.345403    1.000000    1.000000    1.000000    17.174050    16.915526    16.121496
166    166    1637862275208155505    33.083649    16.838867    99.367822    1.000000    1.000000    1.000000    17.171983    16.910313    16.137264
167    167    1637862275218221128    33.215521    16.838884    99.348048    1.000000    1.000000    1.000000    17.169972    16.905381    16.161339
168    168    1637862275228285892    33.346875    16.838903    99.356527    1.000000    1.000000    1.000000    17.167887    16.899782    16.120269
169    169    1637862275238351298    33.477704    16.838923    99.350190    1.000000    1.000000    1.000000    17.169015    16.903474    17.736774
170    170    1637862275248416916    33.608014    16.838953    99.348098    1.000000    1.000000    1.000000    17.166941    16.898093    16.120417
171    171    1637862275258482546    33.737809    16.838976    99.347979    1.000000    1.000000    1.000000    17.164910    16.892669    16.138589
172    172    1637862275268547924    33.867094    16.839020    99.350467    1.000000    1.000000    1.000000    17.162883    16.887256    16.135961
173    173    1637862275278614100    33.995866    16.839033    99.342590    1.000000    1.000000    1.000000    17.160813    16.881918    16.110429
174    174    1637862275288679095    34.124140    16.839085    99.354247    1.000000    1.000000    1.000000    17.158830    16.876666    16.150220
175    175    1637862275298745508    34.251902    16.839100    99.340252    1.000000    1.000000    1.000000    17.156793    16.871261    16.119144
176    176    1637862275308811437    34.379167    17.505991    99.345028    1.000000    1.000000    1.000000    17.154718    16.794587    16.095665
177    177    1637862275318877091    34.505938    17.506134    99.347742    1.000000    1.000000    1.000000    17.152709    16.779311    16.124907
178    178    1637862275328943476    34.632210    17.506214    99.340528    1.000000    1.000000    1.000000    17.150714    16.764083    16.128284
179    179    1637862275339009395    34.757995    17.506292    99.345127    1.000000    1.000000    1.000000    17.148742    16.748842    16.136610
180    180    1637862275899204856    31.539364    16.234224    1.785091    1.000000    1.000000    1.000000    17.081965    16.279696    16.464645
181    181    1637862275909296495    31.657945    16.234081    99.091931    1.000000    1.000000    1.000000    17.081857    16.284861    17.020842
182    182    1637862275919374598    31.776185    35.206165    99.225023    1.000000    1.000000    1.000000    17.081780    16.387821    17.037646
183    183    1637862275929453108    31.894010    35.205936    99.221016    1.000000    1.000000    1.000000    17.081717    16.399174    17.046042
184    184    1637862275939532269    32.011420    35.205387    99.214607    1.000000    1.000000    1.000000    17.081638    16.410038    17.035858
185    185    1637862275949609390    32.128433    35.204903    99.234692    1.000000    1.000000    1.000000    17.081601    16.421558    17.060505
186    186    1637862275959687954    32.245030    35.204361    99.220484    1.000000    1.000000    1.000000    17.081555    16.432534    17.055035
187    187    1637862275969767100    32.361221    35.203812    99.214755    1.000000    1.000000    1.000000    17.081475    16.443056    17.035883
188    188    1637862275979845181    32.477014    35.203320    99.225239    1.000000    1.000000    1.000000    17.081452    16.454358    17.067965
189    189    1637862275989924811    32.592399    35.202755    99.209991    1.000000    1.000000    1.000000    17.081445    16.466269    17.077452
190    190    1637862276000003807    32.707389    35.202190    99.216231    1.000000    1.000000    1.000000    17.081424    16.477930    17.069443
191    191    1637862276010084316    32.821974    35.201603    99.201340    1.000000    1.000000    1.000000    17.081407    16.489006    17.071422
192    192    1637862276020237289    32.935757    35.198021    98.493318    1.000000    1.000000    1.000000    17.081114    16.498321    16.912007
193    193    1637862276030326280    33.049507    35.197071    99.117940    1.000000    1.000000    1.000000    17.081571    16.512859    17.347454
194    194    1637862276040396122    33.162975    35.195976    99.306424    1.000000    1.000000    1.000000    17.082164    16.527742    17.427417
195    195    1637862276050465161    33.276060    35.195847    99.314344    1.000000    1.000000    1.000000    17.082839    16.543756    17.477300
196    196    1637862276060534093    33.388759    35.195629    99.315399    1.000000    1.000000    1.000000    17.083515    16.559603    17.479001
197    197    1637862276070603871    33.501069    35.195457    99.307055    1.000000    1.000000    1.000000    17.084086    16.574452    17.418436
198    198    1637862276080672677    33.613003    35.195290    99.316642    1.000000    1.000000    1.000000    17.087412    16.608941    19.040135
199    199    1637862276090745919    33.724531    35.194965    99.272905    1.000000    1.000000    1.000000    17.087779    16.603830    17.303381
200    200    1637862276102025008    33.828814    35.144932    88.659643    1.000000    1.000000    1.000000    17.089061    16.624844    17.762773
201    201    1637862276271232915    33.055751    29.622307    5.909889    1.000000    1.000000    1.000000    17.130490    16.957221    18.585274
202    202    1637862276281326881    33.164612    29.621468    99.069087    1.000000    1.000000    1.000000    17.133067    16.982686    18.693364
203    203    1637862276291396271    33.273248    29.621376    99.310882    1.000000    1.000000    1.000000    17.135752    17.009103    18.767781
204    204    1637862276301463810    33.381538    29.621300    99.329141    1.000000    1.000000    1.000000    17.138329    17.034523    18.707574
205    205    1637862276311529978    33.489481    29.621305    99.342669    1.000000    1.000000    1.000000    17.140978    17.060742    18.757114
206    206    1637862276321595561    33.597074    29.621317    99.348443    1.000000    1.000000    1.000000    17.143583    17.086978    18.735465
207    207    1637862276331662397    33.704309    29.621281    99.336077    1.000000    1.000000    1.000000    17.146171    17.112872    18.730101
208    208    1637862276341729921    33.811192    29.621250    99.329289    1.000000    1.000000    1.000000    17.148739    17.138661    18.722759
209    209    1637862276351797959    33.917724    29.621187    99.324218    1.000000    1.000000    1.000000    17.151334    17.164584    18.744536
210    210    1637862276443148344    33.583733    55.152786    10.946861    1.000000    1.000000    1.000000    17.187209    18.297582    19.618694
211    211    1637862276453226832    33.688856    55.154118    99.221232    1.000000    1.000000    1.000000    17.191575    18.351212    19.913587
212    212    1637862276463300658    33.793668    55.154556    99.267150    1.000000    1.000000    1.000000    17.195885    18.404012    19.887965
213    213    1637862276473371114    33.898163    55.155373    99.300369    1.000000    1.000000    1.000000    17.200194    18.456829    19.897651
214    214    1637862276483443760    34.002314    55.156029    99.278779    1.000000    1.000000    1.000000    17.204542    18.510436    19.929682
215    215    1637862276493516658    34.106132    55.156464    99.276296    1.000000    1.000000    1.000000    17.208809    18.562788    19.886768
216    216    1637862276503588972    34.209624    55.157093    99.282052    1.000000    1.000000    1.000000    17.213099    18.615688    19.910645
217    217    1637862276513660212    34.312793    55.157898    99.292639    1.000000    1.000000    1.000000    17.217409    18.669347    19.932464
218    218    1637862276523734394    34.415620    55.158295    99.263642    1.000000    1.000000    1.000000    17.221634    18.721550    19.885748
219    219    1637862276533806582    34.518132    55.159046    99.283294    1.000000    1.000000    1.000000    17.225862    18.773793    19.897259
220    220    1637862276543879894    34.620315    55.159626    99.272216    1.000000    1.000000    1.000000    17.230069    18.826089    19.892009
221    221    1637862276553952588    34.722179    55.160416    99.278306    1.000000    1.000000    1.000000    17.234275    18.878487    19.899289
222    222    1637862276564021060    34.823746    55.168987    99.319937    1.000000    1.000000    1.000000    17.238404    18.933389    19.860653
223    223    1637862276574092216    34.924979    55.170795    99.293467    1.000000    1.000000    1.000000    17.242599    18.980900    19.909904
224    224    1637862276584165608    35.025883    55.170437    99.271427    1.000000    1.000000    1.000000    17.249855    19.063192    21.870130
225    225    1637862276594239558    35.126468    55.169937    99.265928    1.000000    1.000000    1.000000    17.253955    19.107468    19.868030
226    226    1637862276604310670    35.226753    55.169716    99.293901    1.000000    1.000000    1.000000    17.258118    19.152626    19.917566
227    227    1637862276614394321    35.326657    55.168312    99.170429    1.000000    1.000000    1.000000    17.262414    19.200597    20.007804
228    228    1637862276624504355    35.426105    55.164131    98.911636    1.000000    1.000000    1.000000    17.267622    19.229444    20.592504
229    229    1637862276634581443    35.525423    55.163738    99.235017    1.000000    1.000000    1.000000    17.273263    19.295917    20.891503
230    230    1637862276644658471    35.624433    55.285938    99.235608    1.000000    1.000000    1.000000    17.278554    19.353453    20.678123
231    231    1637862276654734127    35.723143    78.226608    99.249121    1.000000    1.000000    1.000000    17.283555    19.722569    20.502237
232    232    1637862276664806867    35.821563    78.230942    99.277853    1.000000    1.000000    1.000000    17.288523    19.769857    20.491509
233    233    1637862276674882043    35.919665    78.229759    99.253849    1.000000    1.000000    1.000000    17.293436    19.814442    20.465351
234    234    1637862276684954895    36.017477    78.228676    99.276749    1.000000    1.000000    1.000000    17.298497    19.863386    20.571568
235    235    1637862276695030295    36.114974    78.226791    99.251643    1.000000    1.000000    1.000000    17.303351    19.907750    20.446723
236    236    1637862276705100918    36.212197    78.225761    99.298723    1.000000    1.000000    1.000000    17.308243    19.953602    20.482180
237    237    1637862276715174799    36.309103    78.224327    99.266608    1.000000    1.000000    1.000000    17.312798    19.994097    20.272587
